Movies,Score,Start Date,End Date,Genre,Rating,# of Ratings (Thou),Release Date,Run Time (min),Budget (mil),Box Office,Comments,Rewatched,Rewatch Score
Raging Bull,7,July 6 2022,July 6 2022,"Biography, Drama, Sport",R,348,December 19 1980,129,18,23.4,"Solid Scorsese movie. I enjoyed, I didn't find it too special, I guess",,
Thor: Love and Thunder,6,July 8 2022,July 8 2022,"Action, Adventure, Comedy",PG-13,34,July 8 2022,119,250,77.6,Cheesy and everyone is worthy and the kids have glowing eyes somehow,,
The Perks of Being a Wallflower,7,July 7 2022,July 10 2022,"Drama, Romance",PG-13,502,September 21 2012,103,13,33.3,Good indie movie with a good message. Didn't keep me entertained though,,
Vice,8,July 10 2022,July 11 2022,"Biography, Comedy, Drama",R,144,December 25 2018,132,60,76.1,Not as good as The Big Short but still very good. Another movie that kind of wakes me up and the type that makes kids socialist. Sad sad sad though,,
Shaun of the Dead,9,July 12 2022,July 13 2022,"Comedy, Horror",R,550,September 24 2004,99,6.1,30,The perfect mix of funny and scary. A perfect story. Some parts were a bit slow so it loses a point,,
The Post,7,July 13 2022,July 13 2022,Drama,PG-13,150,December 22 2017,116,50,179.8,"A high 7 score. Good performances, plot was a bit dry and cookie cutter idk",,
Hot Fuzz,8,July 14 2022,July 14 2022,"Action, Comedy, Mystery",R,499,April 20 2007,121,14,80.7,Another great comedy with some jump scares mixed in. Also the twist was pretty good. Chekov's gun galore which is amazing,,
Some Like It Hot,7,July 15 2022,July 16 2022,"Comedy, Music, Romance",Passed,264,March 29 1959,121,2.9,49,Good for its time def but not as good as some of the dramas from the time period,,
The World's End,7,July 16 2022,July 18 2022,"Action, Comedy, Sci-Fi",R,279,August 23 2013,109,20,46.1,Pretty good,,
Gone Baby Gone,9,July 19 2022,July 19 2022,"Crime, Drama, Mystery",R,271,October 19 2007,114,19,34.6,Watched with Annabelle and Jared. The ending wasn't as good the second time around because I remembered it all so well. Jared knew what was coming so I felt like it may have been worse for them than the mindblowing thing it was for me,,
Point Break,7,July 21 2022,July 21 2022,"Action, Crime, Thriller",R,180,July 12 1991,122,24,83.5,"Pretty underrated I'd say. I liked the emotional moments that are built up to, the bank scenes and LA river scene. Chase on foot was sooo long though",,
The Last of the Mohicans,7,July 22 2022,July 22 2022,"Action, Adventure, Drama",R,168,September 25 1992,112,40,143,"I liked it, the story was a bit linear and predictable. A lot of others are like it",,
Brink!,5,July 23 2022,July 23 2022,"Drama, Family, Sport",TV-G,6.3,August 29 1998,99,,,"Pretty ok, good for a DCOM",,
Amélie,9,July 25 2022,July 25 2022,"Comedy, Romance",R,748,April 25 2001,123,10,174.2,WOW this movie slaps. Great foreshadowing -> payoff at the end. Chekov's artillery,,
The Conversation,7,July 26 2022,July 27 2022,"Drama, Mystery, Thriller",PG,111,April 7 1974,113,1.6,4.4,Pretty good. I like it less than The Rainmaker but still good. I like how the whole message changes at the end,,
Rush Hour 3,6,July 28 2022,July 28 2022,"Action, Comedy, Crime",PG-13,167,August 10 2007,91,132.5,258.1,I like this franchise a lot. They started good and keep it rolling,,
Titanic,9,July 29 2022,July 30 2022,"Drama, Romance",PG-13,1100,December 1 1997,195,200,2202,"I really like this movie a lot. It didn't make me too sad. I don't think I got as much out of it as some other people. This movie didn't make me cry but others have made me cry plenty, ya know?",,
Akeelah and the Bee,8,July 30 2022,July 31 2022,"Drama, Family",PG,20,April 28 2006,112,7,19,Coach Carter type movie for black girls this time. Just as fire if not better.,,
Escape from Alcatraz,7,July 31 2022,August 1 2022,"Action, Biography, Crime",PG,133,June 22 1979,112,8,43,Cool movie,,
Little Miss Sunshine,7,August 1 2022,August 2 2022,"Comedy, Drama",R,475,July 26 2006,102,8,101,Nice movie with some great performances,,
"Paris, Je T'Aime",8,August 2 2022,August 2 2022,"Comedy, Drama, Romance",R,73,June 21 2006,120,13,17.5,"A beautiful movie that focuses on all of Paris, and the relationships of people in each arrondissement",,
Election,9,August 4 2022,August 4 2022,"Comedy, Romance",R,97,April 23 1999,103,16.75,17.2,WHAT A WILD MOVIE. Masterpiece? Maybe if it was a bit more serious. Criterion Collection,,
Hearts of Darkness,8,August 5 2022,August 5 2022,Documentary,R,21,November 27 1991,96,,,"Good documentary, maybe I would've gotten more out of it if I had seen Apocalypse Now",,
Almost Famous,9,August 6 2022,August 6 2022,"Adventure, Comedy, Drama",R,274,September 22 2000,161,60,47.4,Amazing,,
Tenet,9,August 6 2022,August 7 2022,"Action, Sci-Fi, Thriller",PG-13,480,September 3 2020,150,205,365.3,Second watch my head wrapped around the concept of a temporal pinscer movement a bit more,,
Over the Hedge,7,August 7 2022,August 8 2022,"Animation, Adventure, Comedy",PG,174,May 19 2006,83,80,340,Cute little movie with a good moral. Also veryy based for a kids' movie,,
This Is the End,6,August 8 2022,August 8 2022,"Comedy, Fantasy",R,408,June 12 2013,107,36.95,126,Cool concept that ends up being generic in practice,,
The Peanut Butter Falcon,6,August 9 2022,August 9 2022,"Adventure, Comedy, Drama",PG-13,88,August 9 2019,98,6.2,23.3,"Good movie, I don't think it really did it for me though",,
Collateral,8,August 9 2022,August 9 2022,"Action, Crime, Drama",R,397,August 6 2004,120,65,220.9,This concept is new and a breath of fresh air. Cruise and Foxx just acting out of their minds,,
The Terminal,5,August 21 2022,August 21 2022,"Comedy, Drama, Romance, BoaTS",PG-13,455,June 18 2004,128,60,219.4,God forbid Hollywood cast a minority when it's based on one. A mid Spielberg movie tbh. Putting a whole movie in an airport isn't a good idea. Love story wasn't great. Watched partly in Logan Airport,,
Untold: The Girlfriend Who Didn't Exist,7,August 21 2022,August 22 2022,"Documentary, Biography, Sport",TV-MA,3.2,August 16 2022,124,,,Pretty cool stuff that I had 0 idea about,,
My Octopus Teacher,6,August 23 2022,August 26 2022,Documentary,TV-G,54,September 7 2020,85,,,"Pretty cool, didn't keep my attention too much though like a scam or hoax does",,
The Alpinist,5,August 27 2022,August 27 2022,Documentary,PG-13,8.7,September 10 2021,92,,,"Cool story bro, sad ending but average climbing movie nonetheless",,
Untold: Crimes & Penalties,7,August 27 2022,August 28 2022,"Documentary, Crime, Sport",TV-MA,3.6,August 31 2021,85,,,They're the bad boys of hockey,,
Easy A,7,August 9 2022,August 31 2022,"Comedy, Drama, Romance",PG-13,388,September 17 2010,92,8,75,A normie movie with a good message,,
Untold: Deal With The Devil,6,September 2 2022,September 3 2022,"Documentary, Crime, Sport",TV-MA,2.3,August 17 2021,77,,,First thing while back at school in full! Good story but not as good as some other untold stories,,
The Hateful Eight,8,September 4 2022,September 5 2022,"Crime, Drama, Mystery",R,590,December 25 2015,168,53,156.5,"Not my fave Tarantino but not the worst. Watched with Kyle, Nick, and Satwik. Jason also saw bits",,
Top Gun: Maverick,8,September 10 2022,September 10 2022,"Action, Drama",PG-13,351,May 17 2022,130,170,1444,Worse story than the OG. Plane scenes are always cool but idk it isn't the same. In Hadley MA,,
Train to Busan,7,September 12 2022,September 12 2022,"Action, Horror, Thriller",Not Rated,216,July 20 2016,118,8.5,98.5,"Watched with Nick, Satwik, and Kyle in Coolidge",,
Untold: Caitlyn Jenner,5,September 16 2022,September 16 2022,"Documentary, Sport",TV-PG,2.7,August 24 2022,69,,,Peter Pan bus to Boston. I'm glad I know the story now,,
Untold: The Rise and Fall of AND1,6,September 16 2022,September 17 2022,"Documentary, History, Sport",TV-MA,1.3,August 23 2022,68,,,Watched in Annabelle's apartment in Brookline,,
Untold: The Race of the Century,8,September 17 2022,September 17 2022,"Documentary, Sport",TV-MA,0.404,September 6 2022,83,,,"Watched in Annabelle's apartment after 2 museums, bike rides, BPL etc.",,
Ponyo,7,September 17 2022,September 17 2022,"Animation, Adventure, Comedy",G,143,July 19 2008,101,34,204.8,"Watched in Annabelle's apartment with Annabelle, Jared, Satwik, and Nick",,
Dirty Dancing,7,September 17 2022,September 18 2022,"Drama, Music, Romance",PG-13,231,August 21 1987,100,4.5,214.6,"Watched in Annabelle's apartment with Annabelle, Nick, Satwik",1,7
Untold: Operation Flagrant Foul,6,September 18 2022,September 18 2022,"Documentary, Crime, History",TV-MA,0.977,August 30 2022,106,,,At Annabelle's apartment,,
The Figo Affair: The Tranfer that Changed Football,6,September 18 2022,September 18 2022,"Documentary, Sport",TV-MA,2.8,August 25 2022,105,,,Cool doc about an important dude I never knew about? Okay,,
The Prestige,9,September 23 2022,September 23 2022,"Drama, Mystery, Sci-Fi",PG-13,1300,October 20 2006,130,40,109.7,"Watched with Satwik, Abdul, Nick V, Nick C, Charissa, and Phan Ha in North A projector room. Fucking fire bc Nolan",,
Bullet Train,8,September 26 2022,September 27 2022,"Action, Comedy, Thriller",R,86,August 5 2022,126,87.95,230.3,"Watched with Nick S, Nick V, Kyle, Charissa, Mark. Funny as fuck, continuous, good action sequences",,
Shutter Island,8,September 28 2022,September 29 2022,"Mystery, Thriller",R,1300,February 19 2010,139,80,294.8,"Watched with Mark, Kyle P, Kyle M, Satwik, Nick V, Nick S, and Phan Ha. Reminds me a bit of A Beautiful Mind, but done way better",,
Django Unchained,9,October 10 2022,October 10 2022,"Drama, Western",R,1500,December 25 2012,165,100,425.4,"Watched with Nick V, Nick S, Charissa, Kyle, Satwik and Mark. Doesn't feel as good the second time around. Although now I'm not sure anything does.",1,9
American Psycho,8,October 21 2022,October 22 2022,"Crime, Drama, Horror",R,605,April 14 2000,102,7,34.3,"Watched with Sebastian, Nick Need, Adam Brochu, and Jason. Really weird ass movie",,
Fantastic Mr. Fox,8,October 24 2022,October 24 2022,"Animation, Adventure, Comedy",PG,231,November 13 2009,87,40,46.5,"Watched with Nick V, Nick S, Charissa. Solid movie. Grand Budapest Hotel is better imo but FMF made a good case",,
Se7en,7,October 28 2022,October 29 2022,"Crime, Drama, Mystery",R,1600,September 22 1995,127,33,327.3,"Watched with Nick S, Nick V, Kyle, Mark. Overrated to shit, but still pretty good",,
Ferris Bueller's Day Off,10,October 29 2022,October 29 2022,Comedy,PG-13,358,June 11 1986,103,5,70.7,Watched with David. Still a banger,10,10
BlacKkKlansmen,7,November 1 2022,November 1 2022,"Biography, Comedy, Crime",R,263,August 10 2018,135,15,93.4,"Watched in Olympia with Kyle, Nick S, Nick V, and Charissa",,
There Will Be Blood,8,November 1 2022,November 3 2022,Drama,R,584,December 26 2007,158,25,76.2,Started in Olympia. Finished in ILC. Bloons happening in background,,
The Matrix,9,November 7 2022,November 7 2022,"Action, Sci-Fi",R,1900,March 31 1999,136,63,466.6,"Watched in Herter with Nick S, Nick V, and Charissa for only a few minutes. ""The spoon does not exist""",,
Beavis and Butthead Do America,7,November 11 2022,November 11 2022,"Animation, Adventure, Comedy",PG-13,58,December 20 1996,81,12,63.1,"Watched with Nick N, Seb, Jason, and Adam B",,
American History X,8,November 12 2022,November 13 2022,"Crime, Drama",R,1100,October 30 1998,119,20,23.9,"Watched with Kyle M, Nick V, Nick S, Kyle P, Abdul, Satwik, Mark, and Steven",,
Looper,8,November 10 2022,November 13 2022,"Action, Drama, Sci-Fi",R,576,September 28 2012,118,30,176.5,"Watched in Field/Newman. Such a cool concept and great acting. Not the coolest fight scenes. Watching the beginning scared the ever living SHIT out of me. Also, cool language learning :)",,
Hell or High Water,8,November 13 2022,November 13 2022,"Crime, Drama, Thriller",R,232,August 12 2016,102,12,37.9,Field. AWESOME MOVIE,,
Snatch,9,November 13 2022,November 13 2022,"Action, Comedy, Crime",R,853,January 19 2001,102,10,83.6,"Watched with Nick S, Nick V, and Charissa in Olympia. Good British humor and pikeys",,
The Hurt Locker,6,November 14 2022,November 15 2022,"Drama, Thriller, War",R,452,June 26 2009,131,15,49.2,"Watched in Olympia and Field. Pretty good, but not amazing. Didn't wow me",,
Margin Call,6,November 15 2022,November 16 2022,"Drama, Thriller",R,133,October 21 2011,109,3.5,19.5,Watched in WEB DuBois and Field,,
Austin Powers: International Man of Mystery,5,November 16 2022,November 18 2022,"Adventure, Comedy",PG-13,242,May 2 1997,89,16.5,67.7,"Field. Funny corny, Airplane is better",,
Austin Powers: The Spy Who Shagged Me,4,November 19 2022,November 19 2022,"Action, Adventure, Comedy",PG-13,235,June 11 1999,95,33,312,Field/home. Still average comedy,,
Austin Powers in Goldmember,3,November 20 2022,November 20 2022,"Action, Adventure, Comedy",PG-13,211,July 26 2002,94,63,296.7,Home. Kinda bad,,
Groundhog Day,5,November 21 2022,November 21 2022,"Comedy, Drama, Fantasy",PG,630,February 12 1993,101,22.3,105,"Home. Average stuff, I wish it was less comedy and more philosphical, like the writer of the script wanted",,
Clerks,8,November 22 2022,November 23 2022,Comedy,R,224,October 19 1994,92,0.23,4.4,Home. I like Friday better but still really great,,
Goodfellas,9,November 23 2022,November 23 2022,"Biography, Crime, Drama",R,1200,September 19 1990,146,25,47.1,Awesome movie. Better than Casino? Not sure. Love love love. Home,,
The Redeem Team,6,November 24 2022,November 24 2022,"Documentary, History, Sport",TV-MA,7,October 7 2022,98,,,Harwich to Groton route for Thanksgiving,,
When Harry Met Sally,7,November 24 2022,November 24 2022,"Comedy, Drama, Romance",R,222,July 14 1989,96,16,92.8,Groton to Harwich ride. Quite good,,
Thirteen Days,6,November 25 2022,November 26 2022,"Drama, History, Thriller",PG-13,59,January 12 2001,145,80,66.6,"Home, movie originally watched in Mr. Anderson's class, freshman year of high school. Doesn't hold up to that nostalgic standard",,
Knives Out,9,November 26 2022,November 26 2022,"Comedy, Crime, Drama",PG-13,624,November 27 2019,130,40,312.9,Watched with Mom. HOLDS UP! Can't wait to see Glass Onion on Mon/Tues,4,9
Glass Onion: A Knives Out Mystery,7,November 28 2022,November 28 2022,"Comedy, Crime, Drama",PG-13,9.7,November 23 2022,139,40,13.3,"Hampshire Mall in Hadley with Nick V, Nick S and Charissa. Worse than the first one by a significant margin. Too much setup",,
Inception,10,November 30 2022,December 1 2022,"Action, Adventure, Sci-Fi",PG-13,2300,July 16 2010,148,160,836.8,"Digestible, beautiful, plot, characters. Olympia with Nick S, Nick V, Miles, Kyle M, Abdul.",1,10
Lilo and Stitch,8,December 2 2022,December 2 2022,"Animation, Adventure, Comedy",PG,192,June 21 2002,85,80,273.1,Field with Jason and Adam. BANGER,,
The Wolf of Wall Street,8,November 28 2022,December 5 2022,"Biography, Comedy, Crime",R,1400,December 25 2013,180,100,406,Field. Good but Big Short better,,
Prisoners,7,December 12 2022,December 12 2022,"Crime, Drama, Mystery",R,711,September 20 2013,153,46,122.1,"Olympia w Nick S, Nick V, Kyle P. Good but not great. Awesome acting",,
Fargo,8,December 16 2022,December 16 2022,"Crime, Thriller",R,679,March 8 1996,98,7,60.6,"At home, kinda bangs. Very visually pleasing and fun dialogue. Feels exactly like it would happen",,
Lone Star,5,December 17 2022,December 18 2022,"Drama, Mystery, Western",R,30,June 21 1996,135,4,13,"Mid, Wietzke rec from Greek Mythology. All over the place. Watched at home after the World Cup Final",,
Happy Gilmore,6,December 18 2022,December 18 2022,"Comedy, Sport",PG-13,228,February 16 1996,92,12,41.2,Pretty good. A classic. Not awesome though. Watched at home,,
A History of Violence,7,December 19 2022,December 20 2022,"Action, Crime, Drama",R,241,September 23 2005,96,32,61.4,Mid compared to what I expected. At home. Last final exam completed this morn,,
Bloody Sunday,5,December 20 2022,December 21 2022,"Drama, History, War",R,25,January 25 2002,111,2.41454,0.582,Mid Greengrass movie. I'll try the 9/11 one next. At home,,
The Nightmare Before Christmas,7,December 21 2022,December 21 2022,"Animation, Family, Fantasy",PG,343,October 29 1993,76,24,91.5,Not as good as Corpse Bride. Solid. At home,,
Die Hard,8,December 22 2022,December 22 2022,"Action, Thriller",R,879,July 15 1988,132,30,140.65,"Great, way better than Mall Cop. Jason Z likes this movie? At home",,
Bad Sport: Hoop Schemes,8,December 26 2022,December 26 2022,"Documentary, Crime, Mystery",TV-MA,2.5,October 6 2021,,,,A story I've been wanting to learn about for a while has been answered. On bus to Logan Airport.,,
Field of Dreams,5,December 26 2022,December 26 2022,"Drama, Family, Fantasy",PG,121,May 5 1989,107,15,84.4,"Cried at the end and didn't see it coming. Didn't hold my attention too well, better for a baseball fanatic. On flight to San Juan. ",,
Bad Sport: Need for Weed,6,December 26 2022,December 26 2022,"Documentary, Crime, Mystery",TV-MA,2.5,October 6 2021,,,,Wild with the weed in the ballast. In condo in Isla Verde PR,,
Bad Sport: Soccergate,6,December 26 2022,December 27 2022,"Documentary, Crime, Mystery",TV-MA,2.5,October 6 2021,,,,Crazy stuff. Watched in condo in Isla Verde,,
Bad Sport: Gold War,7,December 28 2022,December 28 2022,"Documentary, Crime, Mystery",TV-MA,2.5,October 6 2021,,,,Story I've never even heard of as usual. Seems like I should have though? In condo in Isla Verde,,
Bad Sport: Horse Hitman,6,December 28 2022,December 29 2022,"Documentary, Crime, Mystery",TV-MA,2.5,October 6 2021,,,,Pretty good. In condo in Isla Verde.,,
Bad Sport: Fallen Idol,4,December 29 2022,December 29 2022,"Documentary, Crime, Mystery",TV-MA,2.5,October 6 2021,,,,Not my vibe but still entertaining. Watched in Isla Verde condo,,
The Ballad of Buster Scruggs,7,December 29 2022,December 29 2022,"Comedy, Drama, Musical",R,150,November 9 2018,133,,,2 out of the 5(?) short stories were below average. The rest were bangers. Watched in Isla Verde condo,,
